date,views
2011-12-09,275131
2011-12-10,303674
2011-12-11,306331
2011-12-12,281874
2011-12-13,294241
2011-12-14,317994
2011-12-15,338480
2011-12-16,373894
2011-12-17,383186
2011-12-18,363387
2011-12-19,357666
2011-12-20,403337
2011-12-21,459356
2011-12-22,531205
2011-12-23,729009
2011-12-24,1052345
2011-12-25,511577
2011-12-26,202006
2011-12-27,148349
2011-12-28,113258
2011-12-29,104775
2011-12-30,105305
2011-12-31,114547
2012-01-01,61851
2012-01-02,58328
2012-01-03,27650
2012-01-04,24963
2012-01-05,23919
2012-01-06,27699
2012-01-07,25248
2012-01-08,18532
2012-01-09,14852
2012-01-10,12972
2012-01-11,12089
2012-01-12,12012
2012-01-13,13672
2012-01-14,14504
2012-01-15,12250
2012-01-16,10160
2012-01-17,10192
2012-01-18,10494
2012-01-19,10034
2012-01-20,10956
2012-01-21,12135
2012-01-22,10050
2012-01-23,8343
2012-01-24,8223
2012-01-25,7865
2012-01-26,7561
2012-01-27,8422
2012-01-28,9625
2012-01-29,8417
2012-01-30,6671
2012-01-31,6428
2012-02-01,6557
2012-02-02,6548
2012-02-03,7376
2012-02-04,7556
2012-02-05,6404
2012-02-06,4967
2012-02-07,4870
2012-02-08,4924
2012-02-09,4712
2012-02-10,5426
2012-02-11,6296
2012-02-12,7739
2012-02-13,6037
2012-02-14,5582
2012-02-15,5621
2012-02-16,5921
2012-02-17,6773
2012-02-18,7017
2012-02-19,5882
2012-02-20,5029
2012-02-21,4814
2012-02-22,4957
2012-02-23,4662
2012-02-24,4955
2012-02-25,5301
2012-02-26,4919
2012-02-27,4254
2012-02-28,4197
2012-02-29,4467
2012-03-01,4447
2012-03-02,4540
2012-03-03,4811
2012-03-04,4203
2012-03-05,3444
2012-03-06,3789
2012-03-07,4078
2012-03-08,4540
2012-03-09,4740
2012-03-10,5243
2012-03-11,4006
2012-03-12,3453
2012-03-13,3733
2012-03-14,3791
2012-03-15,3539
2012-03-16,3667
2012-03-17,4641
2012-03-18,4295
2012-03-19,3783
2012-03-20,3638
2012-03-21,3995
2012-03-22,3716
2012-03-23,3878
2012-03-24,4306
2012-03-25,4083
2012-03-26,3883
2012-03-27,3978
2012-03-28,3634
2012-03-29,3922
2012-03-30,4952
2012-03-31,5564
2012-04-01,5120
2012-04-02,4495
2012-04-03,4678
2012-04-04,4821
2012-04-05,4824
2012-04-06,5087
2012-04-07,4773
2012-04-08,4788
2012-04-09,4495
2012-04-10,4329
2012-04-11,4276
